DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1950-12-31,31.951,,
1951-12-31,31.355,-1.87,
1952-12-31,30.758,-1.9,
1953-12-31,30.162,-1.94,
1954-12-31,29.566,-1.98,
1955-12-31,28.969,-2.02,
1956-12-31,28.373,-2.06,
1957-12-31,27.776,-2.1,
1958-12-31,27.18,-2.15,
1959-12-31,26.772,-1.5,
1960-12-31,26.364,-1.52,
1961-12-31,25.955,-1.55,
1962-12-31,25.547,-1.57,
1963-12-31,25.139,-1.6,
1964-12-31,24.577,-2.24,
1965-12-31,24.016,-2.28,
1966-12-31,23.454,-2.34,
1967-12-31,22.893,-2.39,
1968-12-31,22.331,-2.45,
1969-12-31,21.428,-4.04,
1970-12-31,20.524,-4.22,
1971-12-31,19.621,-4.4,
1972-12-31,18.717,-4.61,
1973-12-31,17.814,-4.82,
1974-12-31,17.066,-4.2,
1975-12-31,16.317,-4.39,
1976-12-31,15.569,-4.58,
1977-12-31,14.82,-4.81,
1978-12-31,14.072,-5.05,
1979-12-31,13.544,-3.75,
1980-12-31,13.016,-3.9,
1981-12-31,12.487,-4.06,
1982-12-31,11.959,-4.23,
1983-12-31,11.431,-4.42,
1984-12-31,11.2,-2.02,
1985-12-31,10.968,-2.07,
1986-12-31,10.737,-2.11,
1987-12-31,10.505,-2.16,
1988-12-31,10.274,-2.2,
1989-12-31,9.954,-3.11,
1990-12-31,9.634,-3.21,
1991-12-31,9.314,-3.32,
1992-12-31,8.994,-3.44,
1993-12-31,8.674,-3.56,
1994-12-31,8.428,-2.84,
1995-12-31,8.182,-2.92,
1996-12-31,7.935,-3.02,
1997-12-31,7.689,-3.1,
1998-12-31,7.443,-3.2,
1999-12-31,7.353,-1.21,
2000-12-31,7.263,-1.22,
2001-12-31,7.173,-1.24,
2002-12-31,7.083,-1.25,
2003-12-31,6.993,-1.27,
2004-12-31,6.951,-0.6,
2005-12-31,6.909,-0.6,
2006-12-31,6.868,-0.59,
2007-12-31,6.826,-0.61,
2008-12-31,6.784,-0.62,
2009-12-31,6.619,-2.43,
2010-12-31,6.454,-2.49,
2011-12-31,6.289,-2.56,
2012-12-31,6.124,-2.62,
2013-12-31,5.959,-2.69,
2014-12-31,5.93,-0.49,
2015-12-31,5.901,-0.49,
2016-12-31,5.873,-0.47,
2017-12-31,5.844,-0.49,
2018-12-31,5.815,-0.5,
2019-12-31,5.748,-1.15,
2020-12-31,5.681,-1.17,
2021-12-31,5.614,-1.18,
2022-12-31,5.547,-1.19,
2023-12-31,5.48,-1.21,
2024-12-31,5.342,-2.52,
2025-12-31,5.204,-2.58,
2026-12-31,5.066,-2.65,
2027-12-31,4.928,-2.72,
2028-12-31,4.79,-2.8,
2029-12-31,4.614,-3.67,
2030-12-31,4.439,-3.79,
2031-12-31,4.263,-3.96,
2032-12-31,4.088,-4.11,
2033-12-31,3.912,-4.31,
2034-12-31,3.82,-2.35,
2035-12-31,3.729,-2.38,
2036-12-31,3.637,-2.47,
2037-12-31,3.546,-2.5,
2038-12-31,3.454,-2.59,
2039-12-31,3.378,-2.2,
2040-12-31,3.302,-2.25,
2041-12-31,3.225,-2.33,
2042-12-31,3.149,-2.36,
2043-12-31,3.073,-2.41,
2044-12-31,3.009,-2.08,
2045-12-31,2.945,-2.13,
2046-12-31,2.881,-2.17,
2047-12-31,2.817,-2.22,
2048-12-31,2.753,-2.27,
2049-12-31,2.702,-1.85,
2050-12-31,2.651,-1.89,
2051-12-31,2.599,-1.96,
2052-12-31,2.548,-1.96,
2053-12-31,2.497,-2,
2054-12-31,2.454,-1.72,
2055-12-31,2.412,-1.71,
2056-12-31,2.369,-1.78,
2057-12-31,2.327,-1.77,
2058-12-31,2.284,-1.85,
2059-12-31,2.248,-1.58,
2060-12-31,2.213,-1.56,
2061-12-31,2.177,-1.63,
2062-12-31,2.142,-1.61,
2063-12-31,2.106,-1.68,
2064-12-31,2.075,-1.47,
2065-12-31,2.044,-1.49,
2066-12-31,2.012,-1.57,
2067-12-31,1.981,-1.54,
2068-12-31,1.95,-1.56,
2069-12-31,1.923,-1.38,
2070-12-31,1.896,-1.4,
2071-12-31,1.869,-1.42,
2072-12-31,1.842,-1.44,
2073-12-31,1.815,-1.47,
2074-12-31,1.791,-1.32,
2075-12-31,1.768,-1.28,
2076-12-31,1.744,-1.36,
2077-12-31,1.721,-1.32,
2078-12-31,1.697,-1.39,
2079-12-31,1.675,-1.3,
2080-12-31,1.653,-1.31,
2081-12-31,1.632,-1.27,
2082-12-31,1.61,-1.35,
2083-12-31,1.588,-1.37,
2084-12-31,1.568,-1.26,
2085-12-31,1.549,-1.21,
2086-12-31,1.529,-1.29,
2087-12-31,1.51,-1.24,
2088-12-31,1.49,-1.32,
2089-12-31,1.472,-1.21,
2090-12-31,1.453,-1.29,
2091-12-31,1.435,-1.24,
2092-12-31,1.416,-1.32,
2093-12-31,1.398,-1.27,
2094-12-31,1.381,-1.22,
2095-12-31,1.364,-1.23,
2096-12-31,1.348,-1.17,
2097-12-31,1.331,-1.26,
2098-12-31,1.314,-1.28,
2099-12-31,1.297,-1.29,
2100-12-31,1.28,-1.31,
